Number of Engines,Total Engine Mass (kg),Acceleration Per Engine (m/s^2),Chassis Mass (kg),Chassis Plus Engines Mass (kg),Total Car Acceleration (m/s^2),Fuel Consumption (L/min)
1,19.5,66.66666667,740,759.5,1.711652403,3.12
2,39,66.66666667,740,779,3.337612323,6.24
3,58.5,66.66666667,740,798.5,4.884157796,9.36
4,78,66.66666667,740,818,6.356968215,12.48
5,97.5,66.66666667,740,837.5,7.76119403,15.6
6,117,66.66666667,740,857,9.101516919,18.72
7,136.5,66.66666667,740,876.5,10.38220194,21.84
8,156,66.66666667,740,896,11.60714286,24.96
9,175.5,66.66666667,740,915.5,12.77990169,28.08
10,195,66.66666667,740,935,13.90374332,31.2
11,214.5,66.66666667,740,954.5,14.98166579,34.32
12,234,66.66666667,740,974,16.0164271,37.44
13,253.5,66.66666667,740,993.5,17.0105687,40.56
14,273,66.66666667,740,1013,17.96643633,43.68
