Number of Engines,Total Engine Mass (kg),Chassis Plus Engines Mass (kg),Total Car Acceleration (m/s^2),Fuel Consumption (L/min)
1,19.5,759.5,1.711652403,3.12
2,39,779,3.337612323,6.24
3,58.5,798.5,4.884157796,9.36
4,78,818,6.356968215,12.48
5,97.5,837.5,7.76119403,15.6
6,117,857,9.101516919,18.72
7,136.5,876.5,10.38220194,21.84
8,156,896,11.60714286,24.96
9,175.5,915.5,12.77990169,28.08
10,195,935,13.90374332,31.2
11,214.5,954.5,14.98166579,34.32
12,234,974,16.0164271,37.44
13,253.5,993.5,17.0105687,40.56
14,273,1013,17.96643633,43.68
