Number of Engines,Total Car Acceleration (m/s^2),Fuel Consumption (L/min),Lap time (secs),Lap time (minutes),Lap time (hours)
1,1.711652403,3.12,178190.3846,2969.839743,49.49732906
2,3.337612323,6.24,91382.69232,1523.044872,25.3840812
3,4.884157796,9.36,62446.79487,1040.779915,17.34633191
4,6.356968215,12.48,47978.84616,799.6474359,13.32745727
5,7.76119403,15.6,39298.07692,654.9679487,10.91613248
6,9.101516919,18.72,33510.89744,558.5149573,9.308582622
7,10.38220194,21.84,29377.1978,489.6199633,8.160332722
8,11.60714286,24.96,26276.92307,437.9487178,7.299145297
9,12.77990169,28.08,23865.5983,397.7599716,6.62933286
10,13.90374332,31.2,21936.53845,365.6089742,6.093482904
11,14.98166579,34.32,20358.21679,339.3036131,5.655060219
12,16.0164271,37.44,19042.94872,317.3824787,5.289707979
13,17.0105687,40.56,17930.02958,298.8338264,4.980563773
14,17.96643633,43.68,16976.0989,282.9349816,4.715583027
