Engines,DGEN-380 (m/s^2),TJ100 (m/s^2),"Gravity (g, constant)"
0,0,0,9.81
1,4.112903226,2.323503128,9.81
2,7.285714286,4.490500864,9.81
3,9.807692308,6.516290727,9.81
4,11.86046512,8.414239482,9.81
5,13.56382979,10.19607843,9.81
6,15,11.87214612,9.81
7,16.22727273,13.45158906,9.81
8,17.28813559,14.94252874,9.81
9,18.21428571,16.35220126,9.81
10,19.02985075,17.68707483,9.81
11,19.75352113,18.95294897,9.81
12,20.4,20.15503876,9.81
13,20.98101266,21.29804663,9.81
14,21.5060241,22.38622386,9.81
15,21.98275862,23.42342342,9.81
