Velocity (m/s),Drag Force (N)
0,0
15,0.826875
30,3.3075
45,7.441875
60,13.23
75,20.671875
90,29.7675
105,40.516875
120,52.92
135,66.976875
150,82.6875
165,100.051875
180,119.07
195,139.741875
210,162.0675
225,186.046875
240,211.68
255,238.966875
270,267.9075
285,298.501875
300,330.75
315,364.651875
330,400.2075
345,437.416875
360,476.28
375,516.796875
390,558.9675
405,602.791875
420,648.27
435,695.401875
450,744.1875
465,794.626875
480,846.72
495,900.466875
510,955.8675
525,1012.921875
540,1071.63
555,1131.991875
570,1194.0075
585,1257.676875
600,1323
615,1389.976875
630,1458.6075
645,1528.891875
660,1600.83
675,1674.421875
690,1749.6675
705,1826.566875
720,1905.12
735,1985.326875
750,2067.1875
765,2150.701875
780,2235.87
795,2322.691875
810,2411.1675
825,2501.296875
840,2593.08
855,2686.516875
870,2781.6075
885,2878.351875
900,2976.75
915,3076.801875
930,3178.5075
945,3281.866875
960,3386.88
975,3493.546875
990,3601.8675
1005,3711.841875
1020,3823.47
1035,3936.751875
1050,4051.6875
1065,4168.276875
1080,4286.52
1095,4406.416875
1110,4527.9675
1125,4651.171875
1140,4776.03
1155,4902.541875
1170,5030.7075
1185,5160.526875
1200,5292
1215,5425.126875
1230,5559.9075
1245,5696.341875
1260,5834.43
1275,5974.171875
1290,6115.5675
1305,6258.616875
1320,6403.32
1335,6549.676875
1350,6697.6875
1365,6847.351875
1380,6998.67
1395,7151.641875
1410,7306.2675
1425,7462.546875
1440,7620.48
1455,7780.066875
1470,7941.3075
