Trial,Engines,Chassis Thrust,Fuel Weight,Time Using Formula
1,6,10.3822,0,1.333931886
2,6,10.3822,3358.627059,0.60144092
3,6,10.3822,1514.332007,0.801914162
4,6,10.3822,2019.091553,0.728153115
5,6,10.3822,1833.373038,0.752866224
6,6,10.3822,1895.596694,0.744308147
7,6,10.3822,1874.048825,0.747238659
8,6,10.3822,1881.427386,0.746231281
9,6,10.3822,1878.890968,0.746577113
10,6,10.3822,1879.761717,0.746458335
11,6,10.3822,1879.462654,0.746499123
12,6,10.3822,1879.565353,0.746485116
13,6,10.3822,1879.530084,0.746489926
14,6,10.3822,1879.542196,0.746488274
15,6,10.3822,1879.538036,0.746488841
16,6,10.3822,1879.539465,0.746488647
17,6,10.3822,1879.538974,0.746488714
18,6,10.3822,1879.539143,0.746488691
19,6,10.3822,1879.539085,0.746488698
20,6,10.3822,1879.539105,0.746488696
21,6,10.3822,1879.539098,0.746488697
22,6,10.3822,1879.5391,0.746488696
23,6,10.3822,1879.539099,0.746488696
